compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
ErMnNdO																4													
AsCHLaNOS																				1									
BaGdLiMnOSb																							1						
BCClDyFeHNOS																	1												
EuHNSTi																													
CFHNOSScSi																		2			3								
BiCHINOTb																	1												
AsFeOTb													2	3															
CaHfOSc																									1				
GdLiOTbTmW																													
CHLaPSSi																										1			
CuFeOScSr					1																								
GeLaNb																							2						
BaCuEuLaOSrTh								1																					
CGdHORb																					2								
OSSc									1																				
BaLuMnOSi																								1					
BCoCuDyFeNbNd										1																			
CEuGeHNOTb																													
OTaTm										1																			
AlInOScW		1																											
CDyHLi																1													
ClOPrTeW												1																	
AlCoFeLaPr														1															
OPTmYYb														4										1		1			
CCuEuHINO														1	1	2		1	2	1	1	2	1	1	1				
CeCuHgNdOPbSr		1																											
ClOWY																													
FeNdSiTi					2																								
CaGeLuRh																													
CaOScThTiZr																													
OPrSbZn		1																											
CoFeLaTi			7																										
CeLuRu		1																											
GeLaNi	1	5		1					1	2			1													1			
EuLuOSrW																													
CeCuNdORuSrY											4	1																	
CFHNOPdTb																		1											
InLaMgOSr						1																							
CClHTb					1		4																						
CErFHLiO																										1			
OSSm					1		1																						
BaCaEuNSiSr																						2							
SnYb				1		1																							
CeHNPS													2																
BrCCeHLiNO																		2											
OPTb	5							2						2						1	1	1	1						
CCeClFFeHNOS																						1							
BaCaEuLiMoO												1																	
BaCoCuEuOTi	1																												
BrCCeHLiNP																									2				
CEuHKNSi																			1			1							
ClFeLaNbO							1																						
FeGdMnOY																				4									
BCFHoN																						1							
BaBiLaOPb				5																									
BaFeNdNiO																							1						
CDyHNOSeSn												1								1									
CGdHORu													2									1							
ClHLaNOPt													1																
EuHKLuOSbW							2																						
BiCeLiNaNbOW																				5									
CClErHLiNOS																										3			
CClHTm							4					2										1							
HLaNiVZr						1																							
BiCaFeLaOTi																										1			
GdIZn													1																
AlCeZn																													
BaHoOWY																													
CsEuGdMoO																			5										
CoHMnY																													
OPTm									1					2															
BCClFHOY															1														
CeLaOSrZn																							1						
CsCuLaOV									1							1													
BrCGdH																1													
CCeClCoCrHOP													1																
AlCeZr														1															
CeLiMoO																		1											
AlErLuO						1																							
BrCGdK		2																											
BaCaCdCuOPbSrY	4																												
CaClEuOPSr																													
CuGdRbTe						1																							
GaInSYb																									1				
EuKNaOTa														2															
CuLaOOsSr																										1			
FeGaLaNd																													
LaNbOPrTi															6														
CsSeYZn							1																						
AlFeNdO																													
BCClHNSc				1			3											1				1	2						
CEuHLiOP		1																											
BCeFeOP																													
AlCaOPSm																													
CEuHINOTb																								5					
BBrCHOSiSm											1																		
BCHLaNOSi									1		1				1	13					1	1							
CaGaLuS										1																			
BeOSiY							2																						
CEuHLiOS									1		1																		
AlCHIPr																											1		
OSmSnTaTi															1														
CdMoOSm																	1												
CoOPrSnTa									3																				
BBiCY				1																									
AlCeFeLa																									2				
CaOTaTbTi																													
CCoFeGeNSm																													
AlFeNdV								4																					
AlFGeLaLiO																													
ClIYb																													
BaCeCoOSm																					1								
GeNaSYb																				1									
AuCFHNNdOP													1																
CGeHOTmW																				1									
CaClCuErO	1																												
AlFeNdY									4																				
BCClHNSm		1	2			1							1		1														
BCHOY	2		5		2		1	1		3			6			13	3			4		2		1	1				
CEuHKNaOSiW																1			1										
