	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
MD	4.5	9	0.142857		3.66667	32.9487	27.0976	20.5714	46.3616	20.9387	56.75	16.5833	44.0484	49.3565	27.0464	40.0286	19.5389	33.7714	33.6217	6.52857	29.2333	33.9333	12.5357	51.7103	30.8357	36.5476	23.6857
BG	35.7143	11.6083	6.625	9.25	6.85476	37	18	14.2	32.4286	17.8667	15.4667	34.0833	29.0333	27.119	21.0476	5.55714	20.5714	5.16111	21.0666	14.6548	54.5119	24.8234	14.8333	36.4	19.419	43.4678	29.5619
VE	19.6429	45.4784	18.5	18.6833	7.98929	36.4127	8.31111	17.5417	55.2607	24.7897	37.5846	22.0909	24.4179	13.9405	15		18.7143	11.4	27.3333	34.6587	20.1667	4.55556	26.8472	17.7964	14.6667	11.0381	9.6
BY	12.55	15	1	6		23.5333	18.9167	2.66667	9.73333	17	17.5	8.36905	20.2667	48.8667	29.4006	8	6.14286	41.2675	8.45556	45.8182	24.8983	10.9881	58.2359	8.77143	7.59325	40.5333	27.6775
DZ		7	10.4	12	10.375	24.5119	3.66667	0.4	3.5	7.78571	2.59167	6.8	14.5	25.8327	56.9952	44.95	2.8	2.16667	12.2667	17.4333	21.3976	50.9517	31.6058	35.1254	38.4048	21.3336	41.1893
TN			4.7		1		3	4.33333	1.1	3.83333	26.5	4.3	19.1667	16.35	12.6476	2.47619	3.8	30.3833	31.3595	40.4478	32.8333	40.571	29.3976	32.6029	30.389	25.8957	57.2643
NG	58.4833	19			6.83333	8.28571	20	23.5	14.1667	2	1.45	2	2.40476	28.5833	27.7833	4.96667	2	11.6667	25.7952	20.3866	21.6056	26.3	18	14.7214	33.1762	37.1407	14.0857
AM		6	3	26	5.68254	14	18.8929	13.05	17.7273	5.49206	30.0714	2.4	8.66667		32.1111	3.5	41.8687	27.1786	43.6244	9.375	4.33333	8	13.8	7.8	36.3333	23	15.5714
UY	3.22024	11.1	4.6	15.7417	14.2833	15.9333	0.6	16.7206	13.25	3	6.21429	27.0238	16.6969	10.3536	10.4952	11.523	13.7109	37.1502	27.3991	13.7297	16.7143	11.2095	23.4167	23.2143	13.596	21.0905	17.5
PR	2	7	17.6667	2.91667	8		8.625	4.25	44.0833	5	1	20	7.26667	57.9143	11	55	21.2024	15.4	12.2	10.875	0.5	20	3	14.15	1	0.8	3.33333
VN		0.333333										12	3	4.11905		9.99048	15.4528	1.57143	0.181818	64.4	1.14286	26.4762	20.7845	37.3583	63.9143	10.4524	48.381
MA	9.54524	3.575	3.97143	1.5	9.26667	8.33333	20.3333	10.2	4.2	22.7083	19.6	6.63333	2.5	4.08333	17.7107	5.73651	10.4198	9.38939	6.15476	2.98817	1.7	0.8	1.4246	16.821	17.4418	20.0698	17.3095
CY					0.333333	1.075	1	20	7	9	0.571429	0.875	35.6333	3.81746	4.98052	3.47619	17.226	22.525	8.60476	15.7429	18.6905	6.91667	29.2151	6.05	4.01006	7.26984	19.2681
KW	2.33333	8	3.16667	9.75	0.5	0.25	4.42647		0.454545	0.333333	38		3.57143	7		5.9	14.6667	19.4667	7.04762	17.2314	9.4	8.54762	1	25.2167	10.7333	21.2333	5.74286
CU	8.66667	3.75	5.66667		2.25	2		19.35	10	5.02857	0.333333	15.3	8.1	12.2667	3.66667	3.25	10.4333	1	3.11111	9.7	3.55556	6.26923	4.76494	49.0952	17.6955	2	1.71212
LB		5.5					9	1	1	0.75			54	20	25	1	11.3333	2.59615	9	6.37879	7.14286	4.81991	12.1643	10.275	4.13279	4.97619	7.11429
PS	0.125	9		19		8		19	1.33333	5.2		3		2.25	3	2		11.9571	19.2429	11.8561	23	21.3571	5.78571	9.07143	7.7	2.66667	
LV				7.5	3	1		1		2.2	0.714286	1	15	1.4				1	2	3.33333		29	26	16.8889	38.1667	3.6	26
OM	0.444444		1.2	2.68182	2.14286		9.09524	4.64899	6.03333	3.93333	4	5	1		8.33333	0.909091	10.359	10.4	20.7667	0.8	22.1	7.00833	11.8128	11.0071	11.7879	13.5079	4.49167
CO	3.35714	3			6.61786		0.714286	4	0.767857			0.954545		2.57143	0.681818	1.5		0.666667	7.17857	18.4429	7.33333	10.3873	18.9071	20.7222	14.8063	25.6427	8.59019
QA		2.66667	1			8.5			1.25			12.25	12.5	0.75	8.2	4.9	16.3333	6.52698	16.9762	12.7333	16.3571	14.1418	1.11429	5.04762	2.98294	7.35595	3.30714
EE			0.75	4.75			0.666667	2.14286	1.33333			0.857143	1.9	12.7143	0.375	18			8	7	2	35	9.28571	20.4286	4.33333	11.5143	4.33333
JM		14.4524			0.75	2	3	22	1	7	2	0.8	3.33333	11	11	5	4	4	19.9667	5.2	3.6	0.75	2	2.25	7.95	0.75	
MO																	1.5	0.388889	23.3667	1.28571	16.0333	10.8333	10.6095		0.8	44.9707	3.1
NP													94.2857							2		1.33333		2	4	1.28571	6.28571
BW		4	4	1	4.5	9.25	5	3	2	4	39		3.5	5.26667	2.26667	1.66667		4							3	6.2	4
BN	9.66667	0.4	1.73333	0.666667		3.93333		2.6	5.3	4.1	3.9	0.6	2.75	4.5	2.5	18.5167	18.7167	3.4	4.92857		2.85714	1.6		0.153846		4	
CR	1	12	2	9	3.5	16	5					1.6			0.5			7.375	23	3.875				1.14286	1.29167		
AZ	5.66667					5.25		5	4.8	4	0.285714	8.44444		3	2.41667	3.54762	10.0333	2.42857	0.541667		2.44643	5.31905	11.1008	5.77778	1.57143		2.66667
AE	2		0.5			10	3	0.5		5	9.41667	1.33333		11	7		1	1	0.666667		6.19048	5.98095	2.10769	3.8619	4.3746	3.83333	3.225
IS		1.8			3.33333			0.666667										3		2.4	13.5		3.175		20.8357	24.65	5.25
ID	0.363636				6.1		2.33333		1.45	12.9833	5.6		1.71032	4.2381	8.4	2	2.65	0.2	1		2.5	5.89286	0.555556	4	3.7	4.11905	6.71786
UZ		2			0.285714	1	2.33333	1		1.42857		0.833333	0.833333	0.555556		5		4	4.5	4	8.25	13	0.2	8.25	3.2	4	
GE					1		1.6			10.4		2.14286	3	25.1429	1.51429	1.2					0.125	8.66667	3.35	4.80952	1		
MU				8	12				14									16.4	0.666667	7.01667	2.5	1.65079		0.666667		0.8	
TT				9.33333		3.975		1	6			7	0.5		2	4.64286	3.5	2.52273	8.65	6.89286		0.666667	2.25		0.666667		
KE																4.1	21.5	1.05	0.785714				6	2.94444	9.5	3.39286	7.55
