	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
SK	3.4	2.25	6.93333	2.68571	1.44643	3.41818	15.4	2.8	2	4.25	1.86667	8.40476	36.75	15.381	25.4202	13.2381	1.93333	9.71667	15.4976	18.6364	26.1333	8.93095	7.2	13.6871	3.97475	8.20635	4.44791
FI	7.85714	32	18.4	24.4952	5.93333		13.6393	8.21429	8.3619	0.714286	3	18	2.21429	0.6	23.4048	6.5	1.2381	9.11667	3.575	4.62857	3.31429	29.75	3.7381	6.61667	5.67778	6.58528	6.41587
TH		0.696429		4	8				5.33333	2	6	5			0.666667	0.2	6.6	24	13.6667	0.333333	6	40.9702	25.0952	20.9079	31	23.381	22.0833
MY		1	3	4	3	3	3.33333	6	1.7	5.28571		13.25	12.7	19.0417	18.1667	15.5	4.26667	5.91667	17.8214	25.904	14.6143	17.6825	18.4524	6.23333	13.9083	3.53333	2.45833
HU	0.75	0.6	1.15385	8	13.9643	1	7.7	11.25	9.33333	15.4	20.55	9.26508	4.94286	1.5	24.0143	10.2857	12	7.87619	7.88889	7.58712	9.7	12.7952	8.61389	4.84091	0.461538	8.21905	5.59091
CL	3		1	0.4	5.38333		2.13333	6.13333	3.6	5.33333	15.1333	2.58333	16.6667	11.9167		18.75	2.66667	3	6.57143	21	6.41667	11.2667	9.70833	15.0074	24.1667	19.6755	13.4857
DZ			1		1.26667	12.0833	18.1667		3		5.66667	17.4	9.08333	12.1333	22.3333	10.4714	3.16667		8.15	11.6667	2.53333	9.11905	8.11212	4	9.93333	29.3381	18.6587
MA	18.4405	34.4167	10	23.4286	13.0381	10.9524	0.571429	15.2333	16.7381	4.9		1		0.25	11.5	0.666667	0.166667	2			0.75	5.8	3.66667	17.7	6.43333	9.67103	7.20833
NZ	14.6	6.58333	6	12.4286	14.5167	0.833333	26	4.91667	4		2.5	1.75		1.2		7		4.66667	1.5	0.236111	7.5		1	4	2.08333	19.8	13
HR	8	9	27	17.1667	10		4	35	10	1.2	6	1		2.66667			0.75	0.25	0.3		3.125	4.45		6.42857	1.33333	1.2	6.54545
JO	3	2			2	5	6.6				8				1	17	9	2				10.3667	19.375		0.6	21.1	12.2985
CO						1.5						7	12	21.2667	2.07071	3	7.6		2.2619	4	0.47619	2.75		2.02857	17.0667	21.8606	3.8
JM				33		22		16				3			26			3						5.2			
RS		1.4			0.8							4.77778	3.75	11.3333	5.375			4.64286	8.08571	9.54545	10	10	4	3.875	15	6.13333	2.45714
KZ									2		3	10	5	9	6		3			2	10.3095	15.5	3	1.1	7.08074	5.70909	4.84615
MD							1.2381	3.10714	19.881	1.05	1	6.54545	9.13333	6.32738		2.2		2.80952	2.26071		3.63333	16	0.666667	1.4127	0.625	4.11111	
CY					0.333333	1.5	1.33333		2				1.375		0.833333	0.444444	10.625	32.4393	5.14286		4	3.2			4.8		8.15238
LT	1	0.333333	1.05	0.553571	1	0.833333		0.5			2.33333	5		1.2		5.14286			5.71429	5.26667		10.3929	5.65	2.62778	7.47222	2.09091	18
CU	8.33333	3.4	4.33333	8	5.9	9.66667	5	7.83333		3.5		1.54286	1.5	1.85714	1.5				0.4				1	1.5			1.1
BD		0.8			1.31429				1.2			7.3		3.875	2	5.66667	3.33333	4	7		0.833333	3.27273	0.111111		8.95	7	9.28571
EE	1							7.71429	2	1				0.825397	2.16071	4.09524	9.13535	1.42857	1.34295	1.81923		5		5.22222	0.5	7.28571	9
OM							1.02222		2	4			2.25						2.66667	1.5	13			9.07143	9.75	10.3864	3.86667
ID	7.94141		0.6		2	0.6	1.42857	0.571429			0.4		0.25	2.65	1		0.4			0.666667	4	1.28571	0.5	3.66667	9.64762	10.4286	6.09091
TJ	19							4	1.71429	0.222222						1		2	0.666667		21.9						
IQ			3														4				36.5	0.75	0.333333	2.45	1.75556	0.983333	0.625
null	2.5			0.4	0.25	4				1.93333		0.428571	9.64583	17.8623	9.07381	1.2											
LV	2.83333	0.285714	2.2					0.166667		0.166667	0.166667											1	19	7.45455	0.444444	2.6	8.33333
UY			0.333333	4.44444		1.5		3.85556	1.66667	0.333333	3	1.71429	6.5			2.3		4.5		0.333333		4.45455		6.4		1	
MK		19	6	12.5																							
SN								6.66667	2					0.714286	0.111111		6.4					9	5.33333				
LB							1.2								2.9		2.5				0.142857		0.333333	3.875	6.33333	4	6
VE								3	4					10.25									3.75				
TT				4		4		7				6															
PR			1				3					6	1		0.666667						0.333333	1.71429	0.366667	0.5	4.2		
YE											2.8		2.33333		0.333333				9.25	3							0.75
PE						1.66667			1.55		4.46667				0.833333						2.33333						3.5
AM		5	0.571429	6		0.333333					0.6			1.2													
NG	0.2													0.714286	0.111111							0.8	0.166667		2.6	8	0.125
SD										2.25														1.2	1.25	0.4	6.5
PS																		5.6		5.25							
UZ															4				3.5		1.64286			1			0.363636
