	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
AR	444.33	455.93	362.57	502.18	757.70	558.34	723.11	638.56	435.95	584.22	651.44	691.55	844.24	657.94	870.28	994.02	999.58	929.54	1042.08	684.13	901.88	826.03	1027.77	864.38	802.10	534.58	491.81
PK	42.17	81.55	85.07	174.99	137.27	201.72	221.99	175.87	194.55	217.43	296.06	383.25	292.54	464.54	863.50	585.34	1010.24	1060.05	1246.42	1388.64	1467.30	1378.62	1504.54	1759.60	1786.52	1789.03	2191.54
BG	393.03	344.88	391.26	314.92	370.41	252.74	252.92	240.22	473.86	406.10	449.05	338.33	209.52	384.74	380.06	450.06	281.39	353.31	458.44	215.81	226.73	311.42	332.68	355.23	321.39	252.07	250.36
SK	529.44	382.18	329.99	282.00	438.74	376.28	353.25	309.48	386.84	329.19	347.22	338.59	418.18	310.31	609.20	404.26	419.55	807.13	648.47	587.61	619.83	656.83	646.42	869.82	773.38	954.06	587.89
SI	251.70	573.70	384.28	409.82	415.21	515.56	358.53	277.08	511.46	537.02	585.95	511.81	808.22	560.83	561.08	772.86	744.16	993.48	834.05	666.69	797.55	962.64	889.91	803.31	697.49	778.78	883.55
NO	273.35	319.33	379.68	373.77	478.60	685.70	293.52	457.96	633.49	603.27	494.07	795.09	469.18	733.60	779.56	743.65	648.87	749.27	961.34	527.09	956.95	771.15	662.07	617.57	830.16	520.75	624.49
BY	160.26	141.21	250.55	236.09	339.07	814.12	510.03	702.67	877.15	557.98	1087.93	744.08	732.68	850.83	641.64	680.79	548.44	783.98	555.48	457.49	345.72	294.48	482.19	377.83	398.82	324.48	456.82
HR	201.80	173.33	201.80	205.98	272.49	162.72	346.35	392.79	368.27	324.84	468.87	437.16	260.98	470.46	1106.08	1041.15	1019.90	664.29	539.78	491.61	599.36	872.41	798.17	907.99	733.43	1037.12	1210.57
LV	177.75	41.37	192.95	159.63	325.01	231.79	326.27	289.14	240.26	432.29	94.88	287.05	197.77	355.42	167.48	357.45	453.64	500.81	849.30	1006.59	322.41	521.22	403.37	705.76	841.76	1031.66	612.64
RO	319.21	280.65	327.07	320.59	457.53	255.92	312.65	429.35	304.06	274.47	192.49	284.15	457.67	476.66	711.53	688.23	742.49	855.24	677.95	708.81	698.07	441.45	367.54	541.40	550.01	591.96	437.25
AM	132.43	134.34	91.24	77.08	169.47	352.58	200.35	288.05	305.54	332.67	388.28	252.70	319.67	243.20	335.09	363.32	612.35	493.34	457.43	482.07	635.59	576.72	491.28	778.11	593.54	288.43	398.02
RS	62.41	170.49	119.48	105.54	188.76	125.94	90.68	239.43	252.36	249.56	220.67	263.71	239.54	299.36	443.74	393.10	507.80	654.00	829.66	579.78	905.96	756.53	808.31	938.12	644.57	842.43	816.04
MY	63.22	68.30	60.49	98.71	78.53	110.16	122.61	109.49	116.70	50.95	55.48	132.63	146.72	219.35	405.13	529.38	570.85	1005.29	1371.98	1187.94	1048.63	723.93	810.97	844.08	860.77	620.75	501.41
CL	203.24	214.53	120.06	232.37	157.37	232.71	291.90	303.19	365.05	342.03	273.79	289.90	286.64	486.25	375.31	418.33	277.69	588.67	495.27	420.85	362.00	370.79	484.30	507.04	504.41	451.16	417.15
TN	31.70	79.40	65.60	163.15	202.31	118.57	221.75	265.75	293.95	131.46	238.73	273.38	218.65	226.12	446.59	384.48	376.74	474.27	664.40	676.66	772.13	650.08	416.00	477.55	386.83	441.63	513.31
LT	74.50	86.70	69.79	141.53	125.49	80.18	220.71	176.75	285.46	192.12	270.01	231.49	169.76	296.52	158.49	297.64	358.41	472.24	441.94	779.07	336.47	359.79	375.16	246.86	387.32	422.36	465.37
VN	17.64	43.14	53.74	32.86	22.47	7.11	37.81	86.45	83.09	47.12	37.65	41.83	82.63	65.72	111.22	178.15	203.32	209.74	422.53	630.39	398.27	513.04	563.49	758.38	980.96	995.59	1143.64
CO	13.36	73.04	106.75	70.84	78.60	105.60	101.18	72.49	96.85	68.81	188.10	141.69	267.54	199.08	404.85	278.22	311.04	356.85	307.05	248.46	262.72	402.13	441.80	421.70	465.75	378.63	372.83
MA	104.70	103.88	152.29	179.39	236.12	184.95	257.02	233.69	156.66	237.15	110.70	124.67	188.64	105.95	201.00	204.02	207.29	172.04	204.33	237.52	165.54	181.44	136.58	186.68	369.27	398.07	311.52
JO	39.39	94.93	62.40	90.07	51.49	91.65	140.85	133.00	77.94	142.84	162.91	178.93	290.78	194.71	311.79	213.95	314.26	107.75	196.26	229.91	185.94	336.95	253.86	313.59	347.89	350.76	286.96
AZ	21.67	5.00	11.78	13.00	34.00	138.25	159.00	207.50	110.40	224.17	110.69	288.19	298.06	570.11	376.70	250.52	249.28	189.18	123.19	144.82	94.58	302.09	306.27	195.65	265.61	140.29	129.72
null	137.00	25.07	80.10	63.18	57.36	43.10	19.17	46.69	28.66	23.05	13.33	53.39	940.57	642.16	513.66	109.82	83.68	133.80	5.93	9.21	3.38	50.51	19.32	18.89	0.25	1.35	1.56
IQ	2.50	51.00	22.00	21.25	19.50	29.00	13.40	38.58	44.17	53.20	3.20	22.00	37.45	68.50	79.62	63.55	133.58	99.92	123.38	130.63	247.01	252.72	454.45	350.80	548.43	821.03	659.29
EE	22.38	39.48	65.75	37.79	91.90	71.61	172.07	91.94	49.13	32.18	90.76	105.59	88.54	139.92	169.02	218.16	344.65	302.70	363.03	425.32	189.17	432.73	179.68	410.83	202.95	261.42	313.03
DZ	15.55	23.33	61.90	45.50	36.89	92.47	55.66	96.07	79.31	104.84	82.53	115.82	121.89	98.37	161.33	212.57	134.06	128.81	179.70	231.16	346.71	303.54	413.57	323.91	340.75	388.74	386.94
PR	23.83	65.75	162.28	85.60	173.64	125.92	88.34	178.64	99.55	282.07	284.93	331.50	342.50	414.80	64.98	186.50	102.25	103.85	229.24	41.69	38.54	152.58	40.92	46.45	19.03	4.28	14.23
KW	46.08	53.67	56.50	43.08	101.00	116.87	176.73	195.86	144.86	115.21	228.80	181.75	226.17	210.27	153.25	251.18	213.62	159.08	147.04	122.19	84.05	66.57	75.61	79.19	115.06	99.91	77.27
VE	131.97	142.02	59.10	101.97	96.14	196.19	126.86	198.05	112.80	188.85	95.60	105.41	151.78	96.27	95.92	71.87	50.20	62.85	90.92	165.76	70.40	108.97	139.27	96.34	96.97	51.34	77.75
NG	99.73	37.67	12.45	3.00	49.77	45.71	54.47	47.63	14.90	68.15	12.12	36.50	42.75	50.72	87.58	25.05	2.63	34.10	83.11	65.54	74.72	119.66	195.14	116.06	155.50	217.15	128.99
