compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
BCCoFO								1																					
CClHOTi	44	56	33	35	44	20	28	58	35	43	51	37	33	40	36	16	15	35	20	31	19	14	7	10	10	5	7		
CHIOSi																													
BrCGdK		2																											
CCsHNORu												1																	
CFHHgNOSZn											1																		
AsCClCuHIN																										1	1		
CClHOTl									1			1		2															
CClHOTm						1		1	1		1	1			1														
CHIOSm	5	2	1	5		4	1	13	4	1		2		2			3			1	3	2		3	7	3	4		
BCClFHPW									3			3														1			
CHIOSn	6	7	4	1	1	2	8	7	2	1	1	5	6	4	6			4		2	1	3	14	2		3			
AuCHNNiO								3																		2	2		
BBrCClHNPt																1													
AuBCCuFHNO																							1				1		
AlCHNNbO																1													
AuCHNNiP												1										1					2		
AuBCCuFHNP		1														2	3			2					3				
CHNNaOPVW																							1						
BrCHNOSnZn																				1									
CHIOSr															4		4									1			
AuCHNNiS										6		1							2										
CClFHNOPRe		2	5	7	7	1	1	5		8		5	4	9	11	20	4	1	6	9	6	2	4	11	2	8	1		
AuBCCuFHNS										2																			
AlCHLiOPSi			1	1																				5					
CClGdHNSb				2																									
CClFHNOPRh	10		9	2	11		7	15	22	23	10	1	5	5	5	12	4	18	17	23	12	11	12	5	8	21	3		
AsCHOPSW																													
CHIrLiOP				1			3											1											
CGeHNOVW																			3										
BCFHSiZr	17	5	6	14	16	23	17	7	23	4	15	11	4	7	2		5	8		1	2						2		
CClHNORbTi																							1						
BCClFHPd		1					1		3		1											1	2						
AgAlBrCClFHOSi																							2						
CFFeHPPtSeTe											1																		
AuCHNaOS							1																						
CCdHLiN																													
AuBCHIP																										1			
CFHNPPtSSb															2														
CCuFeHNOSe												2	2											4		7			
CClFHNOPRu	9	34	11	21	40	33	41	44	56	41	57	47	59	49	41	45	54	76	68	81	103	98	77	65	68	50	44		
CHNNiOWY														1						2	1								
CGeHPPtTe		1																											
BCClHNSiU		1								2																	2		
AuCFHPPd	1							1												1		1							
CClDyHNPSi						2																							
CFHPSTa				1																									
BCClHNSiV																													
CHKOsP											1																		
CClFHIORu																						1							
CClCuHNPSZn											1																		
CCdHLiS																				2									
CCaClFFeHNOPPdS														3															
CFHNPPtSSe								1																					
CClFHNNdO														1	1	1		1	1										
AgBrCCoHNOP															1														
CFHPSTc																													
CCuFeHNOSi																					1					1			
AgCFHOSSb							1		1			1																	
CGeHPPtTi												1																	
BCClHNSiY							2																						
AgBCHNORe						6																							
AgBrCCoHNOS																							1						
AgCFHOSSe																	1	1								1	1		
AgCHNOVW														1															
CClFHNOSYbZn																											1		
BCClFHPt											1																		
CHNPSiZn			7	3	1	3	2		1		2		1		4			1	4	2	1			2	1		3		
CFeHRhSe							1																						
CFHPSTi					2																								
AgCClHNOSYb																											2		
AsCFHNiOP																					1								
AgCFHOSSi													6																
BCClFeHNOPS																					1			1					
BeCHNOPtSSi				1																									
CHNPSiZr	6		5	15	2	2	6	3	2	3	2	5	4	13	7	3	1	8	2	4	2	1							
CFeHRhSi																									3				
CRuY						1																							
BiCCuFHO										1																			
AuCFHPPt	1										1		2									2							
CCaHMoNOPV															1														
CFeORuSSe					1																								
CHOSiWZr																										2			
BiCClFHPPtS	1	1																											
CFeHHgNTe																													
CHORuYb													1																
AlCRb					3																								
BCHINOSSiW												1								1									
BCClCsFHOSn																													
CCeHTe																											1		
CHNiPSSeSi											1																		
AsBrCHPtSe																													
BrCHNNaOSV								2																					
CHIKNOP																								1					
CDyFeHOP																								1					
BCCoHMoNOP											2		1																
BCCoHMoNOS	9											2	2		6			4		16									
CFeMnNNa																			1			1							
BBrCFHKNOPRh																													
CFHPSeSn																									1				
CClHLiNPSSiZn																									1				
CHIKNOU													2	2	4										4	4			
BrCHMgMoNO								1																					
BCClFeHNOPt																						1							
CHIKNOW																									2				
CFHPPtRhS							1	1																					
CCoHNORuS			1			2		2								3													
CCsHNOSU																1													
CCsHNOSV								1		1							2							2					
CHMoOSiZr																										2			
AgCClEuHOW																				1									
CCuErHNOP																				2									
CCsHNOSW											6																		
CFeMnNNi								1																					
CCoHNORuW																													
CCuErHNOS													1																
BaCCuHMoNOP																		1											
CCsGaGeHNOW									1																				
AgCClHMoS					1	1																							
CHOPRbSi										1																			
BrCClFHLiNZn																													
BCClCoFHRu											1																		
BrCHNNaOSi																													
CClFHOsPRuSe															1														
BBrCHIrOP										2			1																
CClCuHNSZn																								1					
BCClDyHLiNSi	4																												
CErHNaOPW																					2								
AsCClGaH		1	1	1								5													1				
CClHNTaW																1													
CClCuHNSZr																													
BrCHIMgSn						1														1									
AsCClHOPPtSn					2																								
CClCsIrO																					1								
CCuHNReTe								1												1									
CCsHNOSi																					1		1	2					
BCFHNOPYb		1																											
CHIOTa													1																
AsCClCuFHNOP															1														
BrCCrFHPSe		1																											
AuCClCuFHNP															1	1	1		2			1							
CHIOTb								1																3		1			
CCsHNOSm				1																									
AlBCFHNOPSe																											1		
CHIOTc								2																					
BBrCHMoNO		1		1			7	4	3		3	5	2														1		
BCClFHNRuS					1	1			4	1							1		5		2						1		
CCoGdHINP																													
CClFHNOPSW	1		4		1	5	1											2		1		1		1		1			
BBrCHMoNP												1											1						
CFHInPPd														1															
AgCCsFHNO																										1			
AlBCFHNOPSi																									1				
CHIOTh																	4		1										
CHIOTi		1		1		1							1	2	2							1			1		1		
CCdHPSe		1	1		1					1								2	1										
CHIOTl																													
CHIOTm			1	6		2	1	6	2													2		1		1			
CClHHgNOPRhSn																													
CGeHNPtSSi	1																												
AuBCCuFHOP																	2												
CClHIrNSiSn																									1				
AuBaCHNOS																									3				
AgCClFeHOPS						2							1																
BrCFHNOPPtS				1							2				1	3				1									
CClErHNOPZn																			4										
BaCCdHO														1															
CGaHLiNNiOP																						1		2					
CHNNaOPWY																					1								
BrCClFeHNOPRuS																1													
CFeKOSe							1																						
CClFeHOPRuS			1						1	1		5			3														
AgBCGaH														1															
AsCHKMoNaO						1																							
CClHOPtSU					1																								
CClHOPtSV																									1				
CClFHNOPSi																													
CFHInPPt														1															
BCHHfIN			1																										
BBrCFHIrNOP																	1	1											
CCuHKNOSbSn																					3								
CClFHNOPSm																									1				
CCrHKOPRe			1																										
BBrCFHIrNOS																													
CClFHNOPSn											4		5	7				14	1								18		
CClCrHNOReS																		1											
BCCoGd			3																										
CFeHKNSZn																								2					
CCuFeHNOTb																				3	1			4					
CFeHKNNiOP																									2				
CCuFeHNOTe													1									1	2						
CClHOPtSb					1						1	2	1																
CCeCsGeN																						1							
CFeHKNNiOS																											1		
CClHOPtSe			1					1					2											1					
CCuFeHNOTi																							2						
BCCaFHN																		1	1		1	2	3		2	1			
CClFHINiPSn							2																						
BCGeHNOPRu																			3										
BCCaFHO																		1											
CClHOPtSi							2			1																			
