	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
SK	482.62	361.73	284.74	235.03	374.67	352.25	312.50	231.70	347.68	287.86	287.54	305.11	349.85	283.18	582.96	368.90	397.98	794.58	615.06	557.85	595.04	628.62	621.48	852.87	762.87	942.23	568.93
SI	220.87	513.87	332.62	380.48	339.76	444.89	340.63	234.68	438.88	496.36	530.05	479.50	748.36	504.07	492.73	740.84	697.19	958.38	802.08	613.09	763.09	918.28	850.05	775.71	662.29	742.34	847.74
BG	317.55	182.47	359.07	270.94	323.40	164.50	146.07	181.23	248.72	275.77	372.56	297.33	148.98	292.67	329.06	341.40	253.02	326.81	448.53	207.26	216.59	271.51	327.68	329.95	316.92	248.93	242.15
HR	172.92	142.33	163.03	177.82	240.99	126.87	310.40	352.39	317.74	291.45	437.70	409.32	240.36	447.98	1076.78	1003.63	973.11	627.82	522.10	478.29	584.02	858.16	785.10	883.57	724.58	1020.53	1198.41
BY	116.88	78.66	120.87	191.04	236.46	754.84	425.89	603.05	801.23	528.93	1002.24	638.13	660.09	806.36	603.75	580.85	540.93	773.70	549.05	448.53	314.50	278.34	465.84	358.31	392.77	319.69	430.86
NO	193.50	279.73	257.95	285.53	389.69	629.94	218.85	278.01	536.76	550.45	426.31	665.53	406.28	680.63	740.12	608.70	602.02	713.08	894.90	476.66	923.85	752.45	631.50	611.26	813.85	483.26	568.82
LV	160.00	30.33	190.75	151.08	323.92	230.29	325.62	268.75	239.76	428.65	89.71	286.05	194.20	354.57	161.48	357.20	452.64	491.21	847.30	997.79	321.63	516.52	384.43	698.27	837.10	1025.32	579.25
AM	132.43	119.89	90.67	69.25	169.47	346.08	170.39	288.05	305.54	332.47	374.68	250.45	318.67	242.00	334.05	346.32	609.35	488.94	457.43	480.07	635.19	576.72	486.28	775.11	592.54	288.43	395.50
RO	192.09	208.85	281.30	212.25	370.06	185.40	253.72	382.11	208.54	176.63	172.84	226.86	384.27	375.98	615.19	610.43	676.04	806.37	640.07	655.98	650.07	397.75	354.01	519.51	517.10	555.97	391.52
MY	61.82	65.80	58.49	89.71	68.13	103.66	116.09	95.90	111.70	41.62	44.31	117.58	130.72	210.68	379.79	469.48	546.74	965.95	1303.55	1133.41	972.68	693.99	779.90	828.40	831.61	601.20	487.08
RS	43.08	160.29	108.48	102.79	175.71	112.94	85.18	197.82	237.11	218.93	210.51	238.82	184.89	258.86	417.42	381.62	490.80	624.56	718.16	549.47	846.59	674.94	794.69	919.85	616.55	829.08	790.62
CL	192.41	196.03	115.45	187.67	146.42	182.95	263.15	275.51	351.34	321.54	210.99	270.47	253.14	447.53	366.81	382.67	268.66	573.66	463.08	388.32	353.60	358.63	470.33	482.23	480.54	439.32	414.80
TN	8.80	58.20	52.62	138.71	171.56	61.32	167.53	196.12	218.75	93.36	197.40	228.63	181.63	161.86	321.07	317.54	340.15	422.81	628.48	600.01	679.96	495.31	326.60	373.45	333.96	386.49	449.64
LT	73.50	84.20	55.00	136.83	117.86	73.13	220.71	172.92	274.62	172.05	258.26	214.36	167.56	285.57	153.15	285.84	345.33	467.90	405.87	755.50	334.62	348.67	331.86	242.12	379.16	409.67	441.43
VN	3.33	30.55	35.20	25.61	21.72	4.68	12.51	17.19	67.95	41.41	26.25	19.48	75.00	50.80	97.68	151.90	189.69	207.74	390.97	600.86	381.09	506.28	558.44	727.23	924.44	936.99	1127.83
JO	32.39	89.93	56.40	87.90	41.74	76.57	123.32	116.00	76.61	139.84	148.91	161.76	281.36	194.31	293.29	203.95	312.13	103.75	185.26	227.05	179.94	334.95	252.77	313.59	346.24	350.26	284.72
CO	5.36	67.04	106.00	62.34	62.94	92.52	99.68	63.25	89.96	45.81	151.31	120.19	230.12	174.76	358.46	240.43	280.68	354.94	290.32	239.89	193.91	399.78	430.29	420.43	446.69	359.35	365.68
IQ	2.50	25.00	19.00	21.25	19.50	29.00	12.40	38.58	44.17	53.20	3.20	22.00	32.95	67.17	79.62	63.55	129.33	87.92	123.38	129.13	216.51	251.43	451.28	348.91	543.63	818.63	654.16
MA	42.60	37.46	114.85	63.88	180.91	118.73	142.79	165.52	110.82	186.16	90.43	93.70	152.21	92.90	155.39	152.74	177.99	162.20	190.74	212.89	155.62	160.62	116.69	159.98	328.43	346.30	273.40
null	130.00	24.50	73.95	61.28	48.07	34.45	16.64	45.19	24.54	17.60	11.83	48.89	883.64	581.85	461.07	108.60	82.91	133.01	3.93	9.21	3.38	49.43	19.32	18.89	0.25	1.35	1.41
EE	19.50	33.60	62.75	31.16	75.50	21.61	155.67	76.13	23.63	21.00	86.50	105.59	81.18	131.77	149.78	210.04	332.55	297.80	349.08	417.56	188.44	422.35	166.70	397.63	198.39	251.42	297.71
DZ	8.10	22.67	45.31	33.00	36.23	72.17	34.66	69.07	63.53	85.92	51.31	74.43	96.36	63.88	114.13	168.80	96.25	105.25	160.25	202.26	325.61	285.03	397.44	303.65	324.36	366.44	349.66
KW	45.08	51.67	52.50	41.83	95.67	97.62	165.73	176.86	144.20	113.61	225.80	181.75	225.50	208.60	153.25	249.08	209.22	159.08	147.04	120.19	83.65	66.57	75.61	79.19	105.66	99.91	76.27
PR	16.17	49.75	154.00	80.00	105.50	108.78	56.34	147.60	98.80	240.27	281.93	317.50	336.66	409.16	61.89	173.25	96.81	103.60	223.73	36.51	36.87	149.87	40.49	45.95	12.83	4.12	13.69
AZ	21.67	5.00	7.00	10.33	6.00	95.25	134.00	141.00	93.40	166.00	73.10	227.28	209.95	427.16	219.07	105.64	192.73	152.08	69.54	99.37	61.24	210.10	214.51	120.51	205.36	113.69	78.51
VE	116.25	117.46	55.35	66.90	87.69	162.08	84.44	148.02	99.37	142.10	70.85	86.51	111.11	67.72	93.27	46.87	46.70	59.35	67.83	154.53	70.06	108.86	133.02	96.34	95.87	51.19	77.75
NG	97.53	37.67	10.95	3.00	49.77	29.71	54.47	47.63	14.90	68.15	7.12	33.50	20.99	49.00	85.47	24.55	2.63	33.90	78.36	65.05	74.05	115.81	194.97	115.86	155.39	215.52	127.10
UZ	16.87	68.05	67.80	37.40	87.77	133.80	143.53	78.50	60.18	83.93	130.97	81.05	104.63	88.11	87.74	139.01	122.12	137.83	37.72	41.93	33.28	88.14	51.78	55.50	95.47	68.08	43.29
UY	7.71	37.18	22.40	65.74	83.42	54.85	21.20	42.81	69.70	82.18	100.63	157.48	159.31	150.49	162.45	124.34	78.26	175.47	121.85	94.78	91.16	163.52	96.36	129.67	97.18	48.56	180.44
MD	64.70	34.29	32.89	31.63	34.92	52.05	35.78	45.99	75.02	75.41	100.67	81.96	106.49	78.55	63.13	110.80	55.90	122.23	102.25	21.76	60.04	82.90	55.09	113.11	143.39	155.24	83.72
